Name,Guild,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer
"TheEmpress",BRG Ahsokas Legion,842227845,2,8750151,5313509,3436642,154,38,217,516,2979078,2325134,205,9,624,4,276,88,138,189,201,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1
"Twodamax",BRG Ahsokas Legion,849554491,-5,6463462,3791802,2671660,141,-199,360,487,1906573,1885229,116,17,494,4,232,70,96,120,137,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1
"Caminator",BRG Ahsokas Legion,316517664,-5,6004945,3710224,2294721,161,-34,323,557,2017326,1692222,98,7,543,5,214,82,97,129,137,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1
"llandro",BRG Ahsokas Legion,478895559,-5,7979266,4561333,3417933,133,-168,447,494,2328024,2232633,146,27,668,4,280,94,118,143,155,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1
"prettyhatemachine",BRG Ahsokas Legion,882761145,-8,8411765,4719381,3692384,127,-175,418,515,2400429,2317938,137,18,653,5,284,81,138,165,177,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
"Pkunk",BRG Ahsokas Legion,925263588,-4,6134208,3684258,2449950,150,80,136,253,2100778,1569767,92,6,189,1,268,22,43,75,108,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0
"Folos",BRG Ahsokas Legion,398344769,-3,10150691,5938925,4211766,141,157,248,601,3508502,2425767,187,47,1051,6,327,154,194,206,209,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
"Richmal",BRG Ahsokas Legion,414213241,12,7844473,4650672,3193801,145,27,236,496,2598993,2050158,124,19,577,4,279,83,114,160,176,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1
"Torin Woodle",BRG Ahsokas Legion,625239834,1,6946823,3989627,2957196,134,-263,372,465,1942841,2046786,115,23,506,4,221,78,96,126,152,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1
"Whisk",BRG Ahsokas Legion,383428245,-6,10580653,6320108,4260545,148,-2,410,643,3479407,2827573,165,42,1252,7,328,187,212,218,221,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Death2MC",BRG Ahsokas Legion,766619493,3,9831729,5518022,4313707,127,41,339,551,3103941,2414081,175,17,883,6,301,124,172,194,195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"Effinsyv",BRG Ahsokas Legion,887724713,-6,8322666,4979898,3342768,148,68,104,407,2829477,2141006,210,13,354,1,272,44,106,162,184,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1
"Mecha",BRG Ahsokas Legion,318634765,5,9336067,5393424,3942643,136,-147,313,481,2776664,2607459,174,25,722,6,286,102,134,171,179,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
"Rebel78",BRG Ahsokas Legion,883592965,0,8097392,4486224,3611168,124,22,108,545,2501677,1983871,138,15,742,4,271,107,143,150,153,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1
"DarthCarbonara",BRG Ahsokas Legion,627877888,-4,5524312,3256061,2268251,143,420,293,486,2120821,1106644,82,9,454,3,192,72,79,99,109,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1
"Shalien",BRG Ahsokas Legion,717273842,-7,8959934,5510359,3449575,159,10,178,461,3051929,2448370,224,24,551,4,281,73,122,181,192,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1
"xXDaChipXx",BRG Ahsokas Legion,217292438,3,7243558,4169409,3074149,135,1,228,522,2303437,1865296,127,17,573,4,242,73,122,142,153,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1
"BombadGeneral Løck",BRG Ahsokas Legion,329813995,8,9202947,5349586,3853361,138,29,537,566,2990381,2354549,202,20,831,5,290,112,172,183,192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
"Revanur",BRG Ahsokas Legion,278546959,2,9851534,5623575,4227959,133,-100,614,587,2964762,2658137,186,30,969,6,305,136,184,201,201,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"Shadow13",BRG Ahsokas Legion,822421553,-1,8210410,4420961,3789449,116,-242,314,452,2176086,2243861,128,27,568,3,255,85,112,146,161,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
"Magnar argorn",BRG Ahsokas Legion,694122251,11,8617429,4932655,3684774,133,-176,476,497,2503908,2419660,154,25,737,4,278,109,129,152,170,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1
"Lilboivig",BRG Ahsokas Legion,531314937,11,6570990,3827516,2743474,139,124,171,484,2228229,1592657,103,10,482,2,225,73,97,125,142,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1
